YEAR,DOY,PRECTOTCORR
1990,1,0.0
1990,2,0.0
1990,3,0.0
1990,4,0.0
1990,5,0.0
1990,6,0.0
1990,7,0.0
1990,8,0.0
1990,9,0.0
1990,10,0.0
1990,11,0.0
1990,12,0.0
1990,13,0.0
1990,14,0.0
1990,15,0.0
1990,16,0.0
1990,17,0.0
1990,18,0.0
1990,19,0.0
1990,20,0.0
1990,21,0.0
1990,22,0.0
1990,23,0.0
1990,24,0.0
1990,25,0.0
1990,26,0.0
1990,27,0.0
1990,28,0.0
1990,29,0.0
1990,30,0.0
1990,31,0.0
1990,32,0.0
1990,33,0.0
1990,34,0.0
1990,35,0.0
1990,36,0.0
1990,37,0.0
1990,38,0.0
1990,39,0.0
1990,40,0.0
1990,41,0.0
1990,42,0.0
1990,43,0.0
1990,44,1.31
1990,45,6.41
1990,46,4.45
1990,47,0.0
1990,48,0.0
1990,49,2.48
1990,50,0.3
1990,51,1.19
1990,52,1.15
1990,53,0.0
1990,54,0.0
1990,55,0.0
1990,56,2.19
1990,57,1.15
1990,58,0.43
1990,59,0.27
1990,60,0.42
1990,61,0.0
1990,62,0.0
1990,63,0.0
1990,64,0.0
1990,65,0.0
1990,66,0.01
1990,67,0.05
1990,68,2.59
1990,69,0.61
1990,70,5.43
1990,71,0.42
1990,72,0.23
1990,73,0.04
1990,74,0.0
1990,75,0.0
1990,76,0.0
1990,77,0.0
1990,78,0.0
1990,79,0.0
1990,80,0.06
1990,81,0.0
1990,82,0.01
1990,83,0.14
1990,84,0.45
1990,85,0.0
1990,86,0.0
1990,87,0.48
1990,88,0.24
1990,89,0.1
1990,90,0.0
1990,91,0.06
1990,92,0.03
1990,93,0.0
1990,94,3.27
1990,95,1.47
1990,96,0.12
1990,97,0.0
1990,98,0.13
1990,99,0.01
1990,100,0.0
1990,101,0.0
1990,102,0.0
1990,103,0.01
1990,104,0.06
1990,105,0.07
1990,106,0.01
1990,107,0.0
1990,108,0.0
1990,109,0.0
1990,110,0.01
1990,111,0.0
1990,112,0.0
1990,113,0.0
1990,114,0.0
1990,115,0.0
1990,116,0.01
1990,117,0.12
1990,118,0.01
1990,119,0.24
1990,120,0.09
1990,121,0.01
1990,122,0.01
1990,123,0.08
1990,124,4.67
1990,125,0.45
1990,126,0.37
1990,127,0.27
1990,128,0.17
1990,129,0.06
1990,130,0.53
1990,131,0.02
1990,132,0.09
1990,133,0.32
1990,134,1.73
1990,135,0.0
1990,136,0.0
1990,137,0.55
1990,138,2.02
1990,139,0.01
1990,140,0.08
1990,141,0.33
1990,142,0.39
1990,143,0.11
1990,144,0.15
1990,145,0.2
1990,146,0.38
1990,147,0.41
1990,148,0.44
1990,149,0.35
1990,150,0.01
1990,151,0.01
1990,152,0.32
1990,153,0.08
1990,154,4.95
1990,155,1.82
1990,156,1.56
1990,157,2.85
1990,158,0.04
1990,159,0.38
1990,160,0.73
1990,161,0.88
1990,162,1.51
1990,163,1.9
1990,164,0.2
1990,165,0.59
1990,166,3.19
1990,167,12.59
1990,168,0.38
1990,169,0.07
1990,170,0.7
1990,171,5.33
1990,172,15.98
1990,173,4.38
1990,174,7.49
1990,175,1.66
1990,176,0.4
1990,177,8.0
1990,178,4.51
1990,179,1.83
1990,180,2.45
1990,181,8.93
1990,182,0.92
1990,183,3.76
1990,184,0.88
1990,185,3.66
1990,186,3.7
1990,187,6.17
1990,188,9.46
1990,189,35.3
1990,190,25.75
1990,191,11.72
1990,192,1.68
1990,193,6.02
1990,194,1.34
1990,195,2.05
1990,196,2.76
1990,197,0.7
1990,198,11.34
1990,199,33.49
1990,200,4.72
1990,201,5.55
1990,202,1.96
1990,203,5.54
1990,204,0.59
1990,205,1.63
1990,206,9.77
1990,207,1.95
1990,208,23.2
1990,209,55.26
1990,210,81.86
1990,211,16.64
1990,212,8.23
1990,213,9.34
1990,214,0.54
1990,215,5.52
1990,216,25.25
1990,217,1.15
1990,218,3.32
1990,219,10.73
1990,220,0.99
1990,221,1.02
1990,222,8.79
1990,223,21.9
1990,224,12.97
1990,225,5.84
1990,226,0.36
1990,227,3.99
1990,228,5.52
1990,229,12.84
1990,230,3.46
1990,231,9.79
1990,232,0.41
1990,233,1.2
1990,234,1.95
1990,235,0.27
1990,236,0.07
1990,237,0.23
1990,238,1.75
1990,239,1.33
1990,240,1.07
1990,241,1.75
1990,242,0.33
1990,243,0.13
1990,244,1.12
1990,245,11.06
1990,246,0.32
1990,247,0.26
1990,248,0.41
1990,249,0.07
1990,250,0.02
1990,251,0.05
1990,252,0.22
1990,253,1.83
1990,254,3.96
1990,255,4.78
1990,256,0.46
1990,257,0.19
1990,258,1.71
1990,259,8.77
1990,260,9.5
1990,261,8.59
1990,262,6.18
1990,263,0.37
1990,264,3.12
1990,265,23.78
1990,266,7.48
1990,267,3.63
1990,268,8.13
1990,269,8.97
1990,270,0.51
1990,271,0.01
1990,272,0.03
1990,273,0.1
1990,274,0.31
1990,275,0.01
1990,276,0.03
1990,277,1.17
1990,278,4.69
1990,279,0.33
1990,280,0.62
1990,281,4.19
1990,282,1.02
1990,283,0.09
1990,284,0.0
1990,285,0.01
1990,286,1.12
1990,287,1.75
1990,288,5.51
1990,289,2.28
1990,290,0.0
1990,291,0.0
1990,292,0.0
1990,293,0.0
1990,294,0.0
1990,295,0.0
1990,296,0.0
1990,297,0.0
1990,298,0.0
1990,299,0.0
1990,300,0.0
1990,301,0.0
1990,302,0.0
1990,303,0.0
1990,304,0.0
1990,305,0.0
1990,306,0.0
1990,307,0.0
1990,308,0.0
1990,309,0.0
1990,310,0.0
1990,311,0.0
1990,312,0.0
1990,313,0.0
1990,314,0.0
1990,315,0.0
1990,316,0.0
1990,317,0.0
1990,318,0.0
1990,319,0.0
1990,320,0.0
1990,321,0.0
1990,322,0.0
1990,323,0.0
1990,324,0.0
1990,325,0.0
1990,326,0.0
1990,327,0.0
1990,328,0.0
1990,329,0.0
1990,330,0.0
1990,331,0.0
1990,332,0.0
1990,333,0.0
1990,334,0.0
1990,335,0.0
1990,336,0.0
1990,337,0.0
1990,338,0.0
1990,339,0.0
1990,340,0.0
1990,341,0.0
1990,342,0.0
1990,343,0.0
1990,344,0.0
1990,345,0.0
1990,346,0.0
1990,347,0.0
1990,348,0.0
1990,349,0.0
1990,350,0.0
1990,351,0.0
1990,352,0.0
1990,353,0.0
1990,354,0.0
1990,355,0.0
1990,356,0.0
1990,357,0.0
1990,358,0.0
1990,359,0.0
1990,360,0.0
1990,361,0.0
1990,362,0.0
1990,363,0.0
1990,364,0.0
1990,365,0.12
1991,1,1.53
1991,2,2.84
1991,3,0.21
1991,4,0.0
1991,5,0.0
1991,6,0.0
1991,7,0.0
1991,8,0.0
1991,9,0.0
1991,10,0.0
1991,11,0.0
1991,12,0.0
1991,13,0.0
1991,14,0.0
1991,15,0.0
1991,16,0.0
1991,17,0.0
1991,18,0.0
1991,19,0.0
1991,20,0.0
1991,21,0.0
1991,22,0.0
1991,23,0.0
1991,24,0.0
1991,25,0.0
1991,26,0.0
1991,27,0.0
1991,28,0.0
1991,29,0.0
1991,30,0.0
1991,31,0.0
1991,32,0.0
1991,33,0.0
1991,34,0.0
1991,35,0.0
1991,36,0.0
1991,37,0.0
1991,38,0.0
1991,39,0.0
1991,40,0.0
1991,41,0.0
1991,42,0.0
1991,43,0.1
1991,44,0.0
1991,45,0.0
1991,46,0.0
1991,47,0.0
1991,48,0.0
1991,49,0.0
1991,50,0.0
1991,51,0.0
1991,52,0.0
1991,53,0.0
1991,54,0.0
1991,55,0.0
1991,56,0.02
1991,57,0.01
1991,58,0.0
1991,59,0.0
1991,60,0.0
1991,61,0.0
1991,62,0.0
1991,63,0.0
1991,64,5.12
1991,65,0.81
1991,66,0.58
1991,67,0.0
1991,68,0.0
1991,69,0.0
1991,70,0.0
1991,71,0.0
1991,72,0.0
1991,73,0.03
1991,74,0.16
1991,75,0.02
1991,76,0.0
1991,77,0.0
1991,78,0.0
1991,79,0.02
1991,80,0.0
1991,81,0.06
1991,82,0.05
1991,83,0.14
1991,84,0.01
1991,85,0.01
1991,86,0.0
1991,87,0.0
1991,88,0.0
1991,89,0.0
1991,90,0.01
1991,91,0.67
1991,92,0.07
1991,93,0.0
1991,94,0.0
1991,95,0.0
1991,96,0.0
1991,97,0.0
1991,98,0.01
1991,99,0.0
1991,100,0.0
1991,101,0.0
1991,102,0.0
1991,103,0.0
1991,104,0.0
1991,105,0.0
1991,106,0.0
1991,107,0.0
1991,108,0.0
1991,109,0.0
1991,110,0.0
1991,111,0.0
1991,112,0.0
1991,113,0.0
1991,114,0.0
1991,115,1.72
1991,116,0.19
1991,117,0.0
1991,118,0.0
1991,119,0.0
1991,120,0.0
1991,121,0.15
1991,122,1.04
1991,123,0.69
1991,124,3.42
1991,125,0.42
1991,126,0.0
1991,127,0.0
1991,128,0.0
1991,129,0.0
1991,130,0.0
1991,131,0.0
1991,132,0.0
1991,133,0.0
1991,134,0.0
1991,135,0.0
1991,136,0.05
1991,137,0.0
1991,138,0.0
1991,139,0.01
1991,140,0.01
1991,141,0.63
1991,142,0.02
1991,143,0.0
1991,144,0.2
1991,145,0.06
1991,146,0.01
1991,147,0.11
1991,148,0.55
1991,149,0.08
1991,150,6.73
1991,151,14.05
1991,152,3.02
1991,153,0.09
1991,154,0.45
1991,155,0.04
1991,156,0.02
1991,157,0.03
1991,158,0.2
1991,159,0.32
1991,160,1.31
1991,161,1.53
1991,162,1.64
1991,163,3.64
1991,164,7.79
1991,165,3.67
1991,166,2.64
1991,167,1.85
1991,168,0.5
1991,169,1.07
1991,170,0.15
1991,171,0.3
1991,172,0.12
1991,173,0.16
1991,174,0.22
1991,175,1.06
1991,176,2.28
1991,177,0.48
1991,178,0.07
1991,179,0.13
1991,180,1.94
1991,181,6.53
1991,182,11.19
1991,183,2.57
1991,184,1.41
1991,185,0.77
1991,186,2.32
1991,187,5.78
1991,188,26.65
1991,189,14.72
1991,190,5.9
1991,191,2.81
1991,192,8.68
1991,193,0.65
1991,194,3.75
1991,195,0.32
1991,196,0.63
1991,197,1.34
1991,198,13.43
1991,199,9.97
1991,200,4.23
1991,201,0.38
1991,202,1.36
1991,203,8.04
1991,204,1.13
1991,205,3.79
1991,206,0.38
1991,207,1.78
1991,208,0.08
1991,209,0.4
1991,210,3.44
1991,211,7.32
1991,212,2.69
1991,213,3.44
1991,214,4.27
1991,215,8.58
1991,216,3.53
1991,217,3.53
1991,218,0.95
1991,219,3.9
1991,220,12.55
1991,221,6.83
1991,222,2.51
1991,223,1.39
1991,224,2.48
1991,225,4.8
1991,226,0.48
1991,227,6.3
1991,228,16.21
1991,229,9.82
1991,230,4.88
1991,231,2.22
1991,232,1.53
1991,233,0.32
1991,234,1.53
1991,235,1.22
1991,236,0.17
1991,237,0.25
1991,238,0.42
1991,239,4.39
1991,240,7.1
1991,241,3.05
1991,242,2.27
1991,243,3.78
1991,244,8.14
1991,245,7.99
1991,246,6.82
1991,247,13.1
1991,248,5.22
1991,249,4.05
1991,250,6.39
1991,251,15.92
1991,252,4.67
1991,253,4.5
1991,254,1.38
1991,255,0.16
