
YEAR,DOY,PRECTOTCORR
1990,1,0.0
1990,2,0.0
1990,3,0.0
1990,4,0.0
1990,5,0.0
1990,6,0.07
1990,7,0.06
1990,8,0.0
1990,9,0.0
1990,10,0.0
1990,11,0.0
1990,12,0.0
1990,13,0.0
1990,14,0.0
1990,15,0.0
1990,16,0.0
1990,17,0.0
1990,18,0.0
1990,19,0.0
1990,20,0.0
1990,21,0.0
1990,22,0.0
1990,23,0.0
1990,24,0.0
1990,25,0.0
1990,26,0.0
1990,27,0.0
1990,28,0.0
1990,29,0.0
1990,30,0.0
1990,31,0.0
1990,32,0.0
1990,33,0.0
1990,34,0.0
1990,35,0.0
1990,36,0.0
1990,37,0.0
1990,38,0.0
1990,39,0.03
1990,40,0.0
1990,41,0.02
1990,42,0.0
1990,43,0.01
1990,44,2.51
1990,45,17.89
1990,46,0.83
1990,47,0.01
1990,48,0.0
1990,49,6.6
1990,50,8.83
1990,51,5.66
1990,52,0.09
1990,53,0.22
1990,54,0.0
1990,55,0.03
1990,56,7.38
1990,57,0.55
1990,58,2.23
1990,59,14.36
1990,60,1.66
1990,61,0.23
1990,62,0.32
1990,63,0.0
1990,64,0.0
1990,65,0.0
1990,66,0.0
1990,67,0.0
1990,68,0.0
1990,69,0.0
1990,70,0.0
1990,71,0.0
1990,72,0.03
1990,73,0.15
1990,74,0.0
1990,75,0.0
1990,76,0.0
1990,77,0.0
1990,78,0.0
1990,79,0.0
1990,80,0.0
1990,81,0.07
1990,82,0.42
1990,83,0.0
1990,84,0.0
1990,85,0.0
1990,86,0.01
1990,87,0.64
1990,88,0.54
1990,89,3.04
1990,90,0.0
1990,91,0.0
1990,92,0.0
1990,93,0.0
1990,94,0.0
1990,95,0.0
1990,96,0.0
1990,97,0.0
1990,98,0.23
1990,99,0.76
1990,100,0.0
1990,101,0.0
1990,102,0.0
1990,103,0.25
1990,104,0.28
1990,105,0.0
1990,106,0.0
1990,107,0.0
1990,108,0.07
1990,109,0.08
1990,110,0.0
1990,111,0.0
1990,112,0.0
1990,113,0.0
1990,114,0.0
1990,115,0.0
1990,116,0.0
1990,117,1.34
1990,118,0.18
1990,119,0.47
1990,120,0.83
1990,121,0.36
1990,122,0.01
1990,123,0.26
1990,124,0.61
1990,125,5.19
1990,126,13.56
1990,127,4.16
1990,128,6.16
1990,129,1.24
1990,130,2.15
1990,131,3.2
1990,132,0.28
1990,133,0.43
1990,134,0.05
1990,135,0.11
1990,136,0.0
1990,137,0.02
1990,138,1.75
1990,139,5.62
1990,140,0.01
1990,141,0.0
1990,142,0.0
1990,143,0.03
1990,144,0.06
1990,145,0.0
1990,146,0.0
1990,147,0.01
1990,148,0.04
1990,149,0.0
1990,150,0.02
1990,151,0.0
1990,152,0.0
1990,153,0.01
1990,154,0.01
1990,155,0.01
1990,156,0.0
1990,157,0.0
1990,158,0.0
1990,159,0.0
1990,160,0.0
1990,161,0.25
1990,162,0.12
1990,163,1.66
1990,164,1.26
1990,165,0.06
1990,166,0.65
1990,167,6.49
1990,168,2.72
1990,169,0.1
1990,170,1.62
1990,171,1.1
1990,172,2.08
1990,173,10.79
1990,174,30.09
1990,175,26.97
1990,176,11.17
1990,177,11.24
1990,178,3.34
1990,179,0.07
1990,180,0.54
1990,181,3.46
1990,182,3.58
1990,183,1.49
1990,184,0.34
1990,185,7.57
1990,186,14.65
1990,187,2.49
1990,188,8.88
1990,189,9.09
1990,190,51.13
1990,191,13.89
1990,192,25.21
1990,193,8.87
1990,194,0.52
1990,195,15.04
1990,196,1.46
1990,197,3.15
1990,198,3.58
1990,199,25.44
1990,200,7.77
1990,201,26.5
1990,202,23.18
1990,203,13.66
1990,204,32.11
1990,205,1.57
1990,206,5.29
1990,207,1.08
1990,208,7.97
1990,209,41.26
1990,210,74.65
1990,211,18.59
1990,212,41.99
1990,213,23.71
1990,214,2.68
1990,215,5.34
1990,216,32.31
1990,217,5.5
1990,218,3.25
1990,219,34.85
1990,220,0.75
1990,221,1.03
1990,222,0.42
1990,223,0.39
1990,224,1.91
1990,225,1.76
1990,226,0.87
1990,227,2.07
1990,228,1.26
1990,229,0.88
1990,230,0.21
1990,231,0.72
1990,232,16.8
1990,233,0.63
1990,234,23.71
1990,235,4.04
1990,236,0.12
1990,237,0.02
1990,238,0.01
1990,239,0.17
1990,240,3.52
1990,241,1.57
1990,242,0.75
1990,243,12.62
1990,244,0.1
1990,245,19.42
1990,246,11.55
1990,247,13.28
1990,248,4.76
1990,249,3.27
1990,250,8.34
1990,251,4.13
1990,252,0.75
1990,253,0.13
1990,254,1.1
1990,255,16.49
1990,256,14.14
1990,257,11.06
1990,258,1.0
1990,259,9.23
1990,260,6.89
1990,261,0.55
1990,262,8.5
1990,263,19.35
1990,264,11.07
1990,265,0.47
1990,266,0.64
1990,267,0.41
1990,268,0.91
1990,269,2.39
1990,270,1.5
1990,271,0.0
1990,272,0.0
1990,273,0.78
1990,274,2.79
1990,275,11.21
1990,276,0.03
1990,277,0.0
1990,278,0.0
1990,279,0.06
1990,280,0.0
1990,281,0.0
1990,282,0.0
1990,283,0.0
1990,284,0.0
1990,285,0.01
1990,286,0.29
1990,287,0.05
1990,288,0.01
1990,289,0.0
1990,290,0.0
1990,291,0.0
1990,292,0.0
1990,293,0.0
1990,294,0.0
1990,295,0.0
1990,296,0.0
1990,297,0.0
1990,298,0.0
1990,299,0.0
1990,300,0.0
1990,301,0.0
1990,302,0.0
1990,303,0.0
1990,304,0.0
1990,305,0.0
1990,306,0.0
1990,307,0.0
1990,308,0.0
1990,309,0.0
1990,310,0.0
1990,311,0.0
1990,312,0.0
1990,313,0.0
1990,314,0.0
1990,315,0.0
1990,316,0.0
1990,317,0.0
1990,318,0.0
1990,319,0.0
1990,320,0.0
1990,321,0.0
1990,322,0.0
1990,323,0.0
1990,324,0.0
1990,325,0.0
1990,326,0.01
1990,327,0.0
1990,328,0.0
1990,329,0.0
1990,330,0.0
1990,331,0.0
1990,332,0.0
1990,333,0.0
1990,334,0.0
1990,335,0.0
1990,336,0.0
1990,337,0.0
1990,338,0.0
1990,339,0.0
1990,340,0.0
1990,341,0.0
1990,342,0.0
1990,343,0.0
1990,344,0.0
1990,345,0.0
1990,346,0.0
1990,347,0.0
1990,348,0.0
1990,349,0.0
1990,350,0.0
1990,351,0.0
1990,352,0.0
1990,353,0.0
1990,354,0.0
1990,355,0.0
1990,356,0.0
1990,357,0.0
1990,358,0.0
1990,359,0.0
1990,360,0.0
1990,361,0.0
1990,362,0.0
1990,363,0.08
1990,364,0.73
1990,365,9.4
1991,1,0.2
1991,2,1.23
1991,3,0.15
1991,4,0.43
1991,5,0.0
1991,6,0.0
1991,7,0.0
1991,8,0.12
1991,9,0.0
1991,10,0.0
1991,11,0.0
1991,12,0.0
1991,13,0.0
1991,14,0.0
1991,15,0.0
1991,16,0.0
1991,17,0.0
1991,18,0.0
1991,19,0.0
1991,20,0.0
1991,21,0.0
1991,22,0.0
1991,23,0.0
1991,24,0.0
1991,25,0.0
1991,26,0.0
1991,27,0.0
1991,28,0.0
1991,29,0.0
1991,30,0.0
1991,31,0.0
1991,32,0.0
1991,33,0.0
1991,34,0.04
1991,35,0.0
1991,36,0.11
1991,37,0.0
1991,38,0.0
1991,39,0.0
1991,40,0.0
1991,41,0.0
1991,42,0.01
1991,43,0.41
1991,44,1.07
1991,45,0.0
1991,46,0.0
1991,47,0.0
1991,48,0.0
1991,49,0.0
1991,50,0.0
1991,51,0.0
1991,52,0.0
1991,53,0.0
1991,54,0.0
1991,55,0.0
1991,56,0.26
1991,57,0.37
1991,58,0.0
1991,59,0.0
1991,60,0.0
1991,61,0.0
1991,62,0.0
1991,63,0.13
1991,64,3.64
1991,65,0.25
1991,66,4.67
1991,67,0.0
1991,68,0.0
1991,69,0.0
1991,70,0.0
1991,71,0.0
1991,72,0.07
1991,73,0.1
1991,74,0.54
1991,75,0.71
1991,76,0.0
1991,77,0.0
1991,78,0.0
1991,79,0.0
1991,80,0.0
1991,81,0.26
1991,82,0.78
1991,83,0.38
1991,84,0.0
1991,85,0.0
1991,86,0.0
1991,87,0.0
1991,88,0.0
1991,89,0.0
1991,90,0.18
1991,91,0.0
1991,92,0.0
1991,93,0.0
1991,94,0.0
1991,95,0.0
1991,96,0.0
1991,97,0.0
1991,98,0.0
1991,99,0.29
1991,100,0.0
1991,101,0.0
1991,102,0.0
1991,103,0.0
1991,104,0.21
1991,105,0.0
1991,106,0.0
1991,107,0.0
1991,108,0.0
1991,109,0.0
1991,110,0.0
1991,111,0.0
1991,112,0.0
1991,113,0.0
1991,114,0.0
1991,115,0.0
1991,116,0.0
1991,117,0.0
1991,118,0.0
1991,119,0.0
1991,120,0.0
1991,121,0.03
1991,122,0.16
1991,123,0.13
1991,124,0.03
1991,125,0.04
1991,126,0.0
1991,127,0.0
1991,128,0.0
1991,129,0.0
1991,130,0.05
1991,131,0.06
1991,132,0.0
1991,133,0.0
1991,134,0.0
1991,135,0.0
1991,136,0.0
1991,137,0.02
1991,138,0.02
1991,139,0.0
1991,140,0.0
1991,141,0.0
1991,142,0.0
1991,143,0.01
1991,144,0.0
1991,145,0.0
1991,146,0.0
1991,147,0.0
1991,148,0.0
1991,149,0.01
1991,150,0.05
1991,151,4.24
1991,152,5.93
1991,153,0.0
1991,154,0.0
1991,155,0.0
1991,156,0.05
1991,157,4.12
1991,158,0.66
1991,159,0.72
1991,160,2.13
1991,161,3.24
1991,162,3.84
1991,163,53.17
1991,164,1.72
1991,165,0.2
1991,166,0.18
1991,167,0.01
1991,168,0.05
1991,169,0.37
1991,170,1.01
1991,171,0.02
1991,172,0.02
1991,173,0.0
1991,174,0.0
1991,175,0.0
1991,176,0.0
1991,177,0.0
1991,178,0.0
1991,179,0.06
1991,180,1.4
1991,181,2.42
1991,182,19.35
1991,183,2.43
1991,184,1.25
1991,185,1.69
1991,186,6.3
1991,187,4.35
1991,188,0.76
1991,189,0.15
1991,190,2.25
1991,191,2.21
1991,192,1.6
1991,193,10.31
1991,194,9.94
1991,195,0.11
1991,196,8.37
1991,197,3.7
1991,198,0.23
1991,199,2.46
1991,200,2.56
1991,201,0.95
1991,202,0.05
1991,203,0.2
1991,204,7.21
1991,205,1.06
1991,206,1.15
1991,207,2.96
1991,208,0.46
1991,209,1.1
1991,210,0.54
1991,211,0.07
1991,212,2.2
1991,213,7.8
1991,214,21.28
1991,215,10.11
1991,216,17.08
1991,217,51.0
1991,218,22.4
1991,219,2.14
1991,220,2.35
1991,221,5.41
1991,222,26.55
1991,223,1.28
1991,224,0.99
1991,225,0.1
1991,226,0.22
1991,227,5.66
1991,228,9.36
1991,229,12.86
1991,230,39.8
1991,231,0.66
1991,232,8.4
1991,233,6.19
1991,234,0.18
1991,235,13.21
1991,236,8.84
1991,237,7.7
1991,238,3.11
1991,239,19.23
1991,240,6.29
1991,241,31.27
1991,242,5.48
1991,243,3.88
1991,244,4.54
1991,245,16.06
1991,246,6.71
1991,247,10.23
1991,248,1.27
1991,249,9.36
1991,250,32.84
1991,251,35.28
1991,252,5.73
1991,253,1.51
1991,254,0.26
1991,255,2.39
